Designator,Comment,Description,Fitted,Footprint,LibRef,Quantity

"A_1, A_2, B_1, B_2","Testpoint","","Fitted","Keystone5002","Testpoint","4"
"C1, C2, C3","EEU-FM1E102","CAP ALUM 1000UF 20% 25V RADIAL","Fitted","12.5mm lytic","Electrolytic Capacitor","3"
"C4, C5, C31_1, C31_2","CC0805KKX7R7BB105","CAP CER 1UF 16V X7R 0805","Fitted","0805C","Capacitor","4"
"C6, C7","885012209028","","Fitted","1210C","Capacitor","2"
"C26_1, C26_2","GRM31MR71H105KA88L","CAP CER 1UF 50V X7R 1206","Fitted","1206C","Capacitor","2"
"C27_1, C27_2, C30_1, C30_2","885012209028","CAP CER 10UF 25V X7R 1210","Fitted","1210C","Capacitor","4"
"C28_1, C28_2","CGA6M3X7R1H225K200AB","CAP ALUM 100UF 20% 16V RADIAL","Fitted","1210C","Capacitor","2"
"C29_1, C29_2, C32_1, C32_2","08055C104JAT2A","CAP CER 0.1UF 50V X7R 0805","Fitted","0805C","Capacitor","4"
"C37_1, C37_2, C38_1, C38_2","C0805C102K5RACTU","CAP CER 1000PF 50V X7R 0805","Fitted","0805C","Capacitor","4"
"D1, D2","600 W, 24 VDC","WE-TVSP Power TVS Diode, bidirectional, 600 W, 24 VDC","Fitted","DO-214AA_Bidirectional","WE-TVSP DO-214AA, 824521241","2"
"D7_1, D7_2, D8_1, D8_2","MCL4148-TR","DIODE GEN 75V 150MA MICROMELF","Fitted","MicroMELF","1N4148","4"
"FB1, FB2, FB3, FB4","FerriteBead","Ferrite Bead","Fitted","0805FB","FerriteBead","4"
"J1, J3, J5, J7","61202021621","WR-BHD 2.54mm Male Box Header","Fitted","61202021621","61202021621","4"
"J2, J4","61500814221","WR-MJ Modular Jack Horizontal Shielded 8P8C Tab Down","Fitted","61500814221","61500814221","2"
"J6","BNC_1","BNC Connector","Fitted","BNC_PLASTIC_ELBOW_SOCKET_WITH_MOUNTING_POSTS","BNC_1","1"
"J8, J13","22-23-2021","Pin Header, 2 Position, Locking, .1 Centers","Fitted","22-23-2021","22-23-2021","2"
"J9","61201621621","WR-BHD 2.54mm Male Box Header","Fitted","61201621621","61201621621","1"
"J10","POWER_J","Low Voltage Power Supply Connector","Fitted","POWER_J_SLOT","","1"
"J11","Header_3_right_angle_th_3.81mm","3-way header","Fitted","691322310003","Header_3_right_angle_th_3.81mm","1"
"J12","Header_2_5.08mm_Screw_Black","2-way PCB connector","Not Fitted","1776119-2","Header_2_5.08mm_Screw_Black","0"
"Q3_1, Q3_2, Q4_1, Q4_2","DMC3021LK4-13","MOSFET N/P-CH 30V TO252-4L","Fitted","TO-252","FDD8424H","4"
"R1","30R 1W","","Fitted","RES_2512","Resistor","1"
"R2, R3","10R 1W","","Fitted","RES_2512","Resistor","2"
"R4, R5, R6, R7, R33_1, R33_2, R37_1, R37_2","RC0805FR-071KL","RES SMD 1K OHM 1% 1/8W 0805","Fitted","0805R","Resistor","8"
"R8","0R","","Not Fitted","1206R","Resistor","0"
"R9","0R","","Fitted","1206R","Resistor","1"
"R34_1, R34_2","CRCW121015R0JNEAHP","RES SMD 15 OHM 5% 3/4W 1210","Fitted","1210R","Resistor","2"
"TX1, TX2","DIY_GDT","DIY Gate Drive TX on 36x22x14 toroid","Fitted","GDT_DIY","GDT_DIY","2"
"TX3, TX4, TX5","80uH","WE-CST Current Sense Transformer, EE5, 80uH","Fitted","WE-CST_EE5","WE-CST, 749251020","3"
"U1, U2","USB6B1","USB Data Line Protection","Fitted","SOIC-8","USB6B1","2"
"U3","FDSM, 173010578","MagI³C-FDSM Fixed Step Down Regulator Module","Fitted","WE-FDSM_173010x78","FDSM, 173010578","1"
"U5_1, U5_2","MIC4126YME","IC DRIVER MOSFET 1.5A DUAL 8SOIC","Fitted","SOIC-8","UCC27423D","2"
